Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
TL Fernando,Sri Lanka,1,1,1,16,1/16,18.0,16.0,5.33,0,0,1989,1989
SP Fleming,New Zealand,280,3,1,28,1/8,29.0,28.0,5.79,0,0,1994,2007
MJ Fourie,Ireland,7,5,1,128,1/33,179.0,128.0,4.29,0,0,2007,2008
AN French,Hong Kong,2,2,1,67,1/51,72.0,67.0,5.58,0,0,2004,2004
AD Gaekwad,India,15,1,1,39,1/39,48.0,39.0,4.87,0,0,1975,1987
D Ganesh,India,1,1,1,20,1/20,30.0,20.0,4.0,0,0,1997,1997
TN Garwe,Zimbabwe,1,1,1,50,1/50,36.0,50.0,8.33,0,0,2009,2009
RS Gavaskar,India,11,2,1,74,1/56,72.0,74.0,6.16,0,0,2004,2004
SM Gavaskar,India,108,4,1,25,1/10,20.0,25.0,7.5,0,0,1974,1987
BD Glover,Netherlands,1,1,1,37,1/37,60.0,37.0,3.7,0,0,2019,2019
Y Goonasekera,Sri Lanka,3,2,1,35,1/24,36.0,35.0,5.83,0,0,1983,1983
EL Gouka,Netherlands,3,2,1,51,1/32,22.0,51.0,13.9,0,0,1996,1996
VD Grandia,Netherlands,1,1,1,40,1/40,30.0,40.0,8.0,0,0,2002,2002
CG Greenidge,West Indies,128,2,1,45,1/21,60.0,45.0,4.5,0,0,1975,1991
RD Gudhka,Kenya,2,2,1,60,1/41,78.0,60.0,4.61,0,0,2011,2011
Habibul Bashar,Bangladesh,111,6,1,142,1/31,175.0,142.0,4.86,0,0,1995,2007
LJ Hamilton,New Zealand,2,2,1,143,1/76,108.0,143.0,7.94,0,0,2005,2005
JR Hammond,Australia,1,1,1,41,1/41,54.0,41.0,4.55,0,0,1972,1972
MJ Haslam,New Zealand,1,1,1,28,1/28,30.0,28.0,5.6,0,0,1992,1992
DL Hemp,Bermuda,22,4,1,119,1/25,114.0,119.0,6.26,0,0,2006,2009
BE Hendricks,South Africa,4,3,1,106,1/50,126.0,106.0,5.04,0,0,2019,2019
RR Hendricks,South Africa,18,3,1,47,1/13,42.0,47.0,6.71,0,0,2018,2019
BJ Hodge,Australia,25,3,1,51,1/17,66.0,51.0,4.63,0,0,2005,2007
